"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\Administrator\Documents\horizoncraft\script\WorldControl\Service\IWorldService.cs", "C#", 16, 28, 11, 55
"c:\Users\Administrator\Documents\horizoncraft\script\WorldControl\Service\IWorldTickable.cs", "C#", 5, 1, 1, 7
"c:\Users\Administrator\Documents\horizoncraft\script\WorldControl\Service\WorldBase.cs", "C#", 607, 34, 89, 730
"c:\Users\Administrator\Documents\horizoncraft\script\WorldControl\Service\WorldClientService.cs", "C#", 250, 8, 43, 301
"c:\Users\Administrator\Documents\horizoncraft\script\WorldControl\Service\WorldHostService.cs", "C#", 472, 21, 71, 564
"c:\Users\Administrator\Documents\horizoncraft\script\WorldControl\Service\WorldPreviewService.cs", "C#", 100, 4, 17, 121
"c:\Users\Administrator\Documents\horizoncraft\script\WorldControl\Service\WorldSingleService.cs", "C#", 213, 6, 35, 254
"c:\Users\Administrator\Documents\horizoncraft\script\WorldControl\Struct\StructBuild.cs", "C#", 11, 0, 3, 14
"c:\Users\Administrator\Documents\horizoncraft\script\WorldControl\Struct\StructManage.cs", "C#", 30, 0, 7, 37
"c:\Users\Administrator\Documents\horizoncraft\script\WorldControl\Struct\structs\MegaOakTreeStruct.cs", "C#", 79, 4, 12, 95
"c:\Users\Administrator\Documents\horizoncraft\script\WorldControl\Struct\structs\OakTreeStruct.cs", "C#", 62, 2, 9, 73
"c:\Users\Administrator\Documents\horizoncraft\script\WorldControl\Tool\SqliteTool.cs", "C#", 214, 0, 22, 236
"c:\Users\Administrator\Documents\horizoncraft\script\WorldControl\Work\SetBlockWork.cs", "C#", 24, 0, 3, 27
"c:\Users\Administrator\Documents\horizoncraft\script\WorldControl\Work\WorkBase.cs", "C#", 16, 3, 4, 23
"c:\Users\Administrator\Documents\horizoncraft\script\WorldControl\WorldGenerator.cs", "C#", 218, 13, 22, 253
"c:\Users\Administrator\Documents\horizoncraft\script\WorldControl\worldbiomes\DeepLayerBiome.cs", "C#", 18, 1, 1, 20
"c:\Users\Administrator\Documents\horizoncraft\script\WorldControl\worldbiomes\ForestBiome.cs", "C#", 90, 0, 4, 94
"c:\Users\Administrator\Documents\horizoncraft\script\WorldControl\worldbiomes\MountainsBiome.cs", "C#", 29, 0, 4, 33
"c:\Users\Administrator\Documents\horizoncraft\script\WorldControl\worldbiomes\PlainBiome.cs", "C#", 79, 0, 3, 82
"c:\Users\Administrator\Documents\horizoncraft\script\WorldControl\worldbiomes\SkyLayerBiome.cs", "C#", 15, 0, 1, 16
"c:\Users\Administrator\Documents\horizoncraft\script\WorldControl\worldbiomes\SnowfieldBiome.cs", "C#", 74, 1, 6, 81
"c:\Users\Administrator\Documents\horizoncraft\script\WorldParials\Host\WorldHostRpc_Player.cs", "C#", 101, 0, 12, 113
"c:\Users\Administrator\Documents\horizoncraft\script\WorldParials\WorldClientRpc.cs", "C#", 121, 1, 16, 138
"c:\Users\Administrator\Documents\horizoncraft\script\WorldParials\WorldHostRpc.cs", "C#", 51, 1, 7, 59
"c:\Users\Administrator\Documents\horizoncraft\script\config\LocalProfile.cs", "C#", 20, 0, 4, 24
"Total", "-", 6726, 376, 995, 8097
